EventID,Timestamp,CaseID,LabelID
Alarm - Leak Detection Alarm,10956,82,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,11056,83,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,11074,83,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,11084,83,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,11090,83,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,11098,83,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 1 Reached,11216,84,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,11234,84,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,11245,84,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,11251,84,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,11260,84,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,11378,85,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,11383,85,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,11390,85,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,11492,86,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,11497,86,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,11505,86,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,11607,87,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,11613,87,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,11620,87,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,11723,88,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,11740,88,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,11751,88,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,11756,88,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,11765,88,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,11884,89,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,11889,89,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,11897,89,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Volume Reached,12000,90,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,12006,90,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,12013,90,Starting a product delivery in a multi product pipeline
Alarm - Batch Meter Tracking Warning Time 1 Reached,12115,91,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,12132,91,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,12143,91,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,12148,91,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,12156,91,Switching a delivery from a refinery to a crude tank
Alarm - High Discharge Pressure,12275,92,A leak in the pump station
Alarm - High Pump Vibration,12281,92,A leak in the pump station
Alarm - Pipe MOP Exceeded,12292,92,A leak in the pump station
Alarm - Low Suction Pressure,12296,92,A leak in the pump station
Alarm - High Pump Differential,12300,92,A leak in the pump station
Alarm - Leak Detection Alarm,12304,92,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,12402,93,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,12407,93,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,12414,93,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,12518,94,A leak in the pump station
Alarm - High Pump Vibration,12524,94,A leak in the pump station
Alarm - Pipe MOP Exceeded,12535,94,A leak in the pump station
Alarm - Low Suction Pressure,12540,94,A leak in the pump station
Alarm - High Pump Differential,12543,94,A leak in the pump station
Alarm - Leak Detection Alarm,12547,94,A leak in the pump station
Alarm - Batch Meter Tracking Warning Time 1 Reached,12646,95,Switching a delivery from a refinery to a crude tank
Alarm - Incoming Suction Pressure High,12664,95,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Warning Time 2 Reached,12675,95,Switching a delivery from a refinery to a crude tank
Alarm - Colorimeter High,12680,95,Switching a delivery from a refinery to a crude tank
Alarm - Meter Flow Low,12689,95,Switching a delivery from a refinery to a crude tank
Alarm - Batch Meter Tracking Volume Reached,12805,96,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,12811,96,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,12819,96,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,12922,97,A leak in the pump station
Alarm - High Pump Vibration,12928,97,A leak in the pump station
Alarm - Pipe MOP Exceeded,12939,97,A leak in the pump station
Alarm - Low Suction Pressure,12944,97,A leak in the pump station
Alarm - High Pump Differential,12947,97,A leak in the pump station
Alarm - Leak Detection Alarm,12951,97,A leak in the pump station
Alarm - Batch Meter Tracking Volume Reached,13049,98,Starting a product delivery in a multi product pipeline
Alarm - Colorimeter High,13054,98,Starting a product delivery in a multi product pipeline
Alarm - Density Deviation High,13061,98,Starting a product delivery in a multi product pipeline
Alarm - High Discharge Pressure,13165,99,A leak in the pump station
Alarm - High Pump Vibration,13172,99,A leak in the pump station
Alarm - Pipe MOP Exceeded,13182,99,A leak in the pump station
Alarm - Low Suction Pressure,13186,99,A leak in the pump station
Alarm - High Pump Differential,13189,99,A leak in the pump station
Alarm - Leak Detection Alarm,13193,99,A leak in the pump station
